ALEAT,ID,OBJ,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31_P,VT,V1_P,V2_P,V3_P,V4_P,V5_P,V6_P,V7_P,V8_P,V9_P,V10_P,V11_P,V12_P,V13_P,V14_P,V15_P,V16_P,V17_P,V18_P,V19_P,V20_P,V21_P,V22_P,V23_P,V24_P,V25_P,V26_P,V27_P,V28_P,V29_P,V30_P,V31_P
0.000157672,271408548,NO,0,0.862855,0,0.741175,4.15071,2.632609,0,0,0.831336,0,21.822011,17.199798,0.000584,0,0,1.666288,0.04682,88.799985,116.875837,62.27963,5.624393,0,166.035102,592.06974,0.18909,0,0,0,6960.063658,0,5.191286,8047.082907,0,0.000107,0,0.000092,0.000516,0.000327,0,0,0.000103,0,0.002712,0.002137,0,0,0,0.000207,0.000006,0.011035,0.014524,0.007739,0.000699,0,0.020633,0.073576,0.000023,0,0,0,0.864918,0,0.000645
0.000166883,273529476,NO,0,2.172403,0,14.637334,40.721541,0.358093,0,0,3.153652,0,20.421569,23.760902,0.240744,0,0,7.107978,9.392551,174.889048,262.289953,24.917864,25.067229,0.022349,130.265237,2597.682091,0,0,0,0,1658.349732,0,10.73537,5006.18564,0,0.000434,0,0.002924,0.008134,0.000072,0,0,0.00063,0,0.004079,0.004746,0.000048,0,0,0.00142,0.001876,0.034935,0.052393,0.004977,0.005007,0.000004,0.026021,0.518894,0,0,0,0,0.33126,0,0.002144
0.000167198,270194124,NO,0,306.860116,0,1421.751392,20.899127,0.595455,3.075185,0,193.265678,0,1565.552372,36.536257,0.005505,0,0.038138,7.069145,5.668594,112.411726,3340.065839,57.940164,2746.533361,0.767637,8462.752553,1504.911874,0.029891,0.005203,0,0,4226.186265,0,81.708549,24094.63003,0,0.012736,0,0.059007,0.000867,0.000025,0.000128,0,0.008021,0,0.064975,0.001516,0,0,0.000002,0.000293,0.000235,0.004665,0.138623,0.002405,0.113989,0.000032,0.35123,0.062458,0.000001,0,0,0,0.1754,0,0.003391
0.00017033,266319211,SI,0,0.297646,0.922973,151.679605,214.679223,1.856781,0,0,59.905954,2.32229,383.348766,81.25051,0.352606,0,0,4.800393,17.007011,307.149202,471.257784,204.598623,256.82999,50.451869,270.309885,3104.733255,0.009231,0,0,0,6017.018424,0,154.075198,11754.85722,0,0.000025,0.000079,0.012904,0.018263,0.000158,0,0,0.005096,0.000198,0.032612,0.006912,0.00003,0,0,0.000408,0.001447,0.02613,0.04009,0.017405,0.021849,0.004292,0.022996,0.264123,0.000001,0,0,0,0.511875,0,0.013107
0.000171212,279083359,NO,0,0.000156,0,5.735342,43.361909,0.716281,0,0,9.697649,0,3.903716,35.064549,27.891111,0,0,2.32182,1.387891,135.894047,76.349116,29.930511,96.135485,0.306333,3127.601075,192.031808,0.062186,0,0,0,1807.871308,0,10.573104,5606.835397,0,0,0,0.001023,0.007734,0.000128,0,0,0.00173,0,0.000696,0.006254,0.004974,0,0,0.000414,0.000248,0.024237,0.013617,0.005338,0.017146,0.000055,0.557819,0.03425,0.000011,0,0,0,0.322441,0,0.001886
0.000202261,282830491,NO,0,0.004056,0,6.350548,6.593215,0.018365,0,0,0.565575,3.592677,3.324511,19.466271,0,0,0,17.364162,1.160599,51.462796,30.33263,79.6608,1.607715,0.096562,36.768891,244.279697,0,0,0,0,79.64719,0,2.190059,584.486319,0,0.000007,0,0.010865,0.01128,0.000031,0,0,0.000968,0.006147,0.005688,0.033305,0,0,0,0.029708,0.001986,0.088048,0.051896,0.136292,0.002751,0.000165,0.062908,0.417939,0,0,0,0,0.136269,0,0.003747
0.000206034,279370663,NO,265.604298,107.58238,0,332.186297,565.689767,4.593413,0.485986,0,1497.051581,6.011015,534.080649,2334.07953,30.949424,0,0,52.443121,33.717224,1885.080464,2356.865601,712.141528,892.913901,292.964159,31638.84763,11243.96806,98.606607,0,0,0,47552.20602,0,127.120738,102565.1894,0.00259,0.001049,0,0.003239,0.005515,0.000045,0.000005,0,0.014596,0.000059,0.005207,0.022757,0.000302,0,0,0.000511,0.000329,0.018379,0.022979,0.006943,0.008706,0.002856,0.308475,0.109628,0.000961,0,0,0,0.463629,0,0.001239
0.000226018,268589456,NO,0,0,0,0.10607,8.765711,1.323567,0,0,0,0,0.23459,2.7908,0,0,0,0.969998,0,11.460649,53.085568,5.321063,2.764985,0,9.841892,106.420437,0,0,0,0,54.750088,0,1.115268,258.950686,0,0,0,0.00041,0.033851,0.005111,0,0,0,0,0.000906,0.010777,0,0,0,0.003746,0,0.044258,0.205003,0.020549,0.010678,0,0.038007,0.410968,0,0,0,0,0.211431,0,0.004307
0.000226139,270083583,SI,131.194476,92.47914,0,10.888312,450.78693,0.547568,0,0,169.129148,0.024231,3.001953,99.632901,2865.069198,0,0,1.63083,11.532541,128.430341,4629.520701,82.770488,27.150861,0.360699,664.625426,227.873271,0.099418,0,0,0,1618.40308,0,5.6967,11220.84821,0.011692,0.008242,0,0.00097,0.040174,0.000049,0,0,0.015073,0.000002,0.000268,0.008879,0.255334,0,0,0.000145,0.001028,0.011446,0.412582,0.007376,0.00242,0.000032,0.059231,0.020308,0.000009,0,0,0,0.144232,0,0.000508
0.000233291,334203660,SI,158.861382,87.92266,0,39.197114,119.265594,1.106633,0,0,4.244393,0,34.338436,148.288711,2.859127,0,1.009024,6.030304,6.015149,1006.698171,390.687469,58.409164,209.361404,0.320429,1781.885744,3665.977664,0.035498,0,0,20.788281,3092.63655,0,51.103416,10887.04232,0.014592,0.008076,0,0.0036,0.010955,0.000102,0,0,0.00039,0,0.003154,0.013621,0.000263,0,0.000093,0.000554,0.000553,0.092468,0.035886,0.005365,0.01923,0.000029,0.16367,0.336729,0.000003,0,0,0.001909,0.284066,0,0.004694
